age_Ma,S_raw,S_pen,D_raw,D_pen,n_runs
1507.783920,0.194993,0.118621,0.805007,0.881379,200
1517.829146,0.197390,0.120079,0.802610,0.879921,200
1527.874372,0.200486,0.121963,0.799514,0.878037,200
1537.919598,0.203404,0.123738,0.796596,0.876262,200
1547.964824,0.206515,0.125630,0.793485,0.874370,200
1558.010050,0.209320,0.127336,0.790680,0.872664,200
1568.055276,0.212798,0.129452,0.787202,0.870548,200
1578.100503,0.217341,0.132216,0.782659,0.867784,200
1588.145729,0.221608,0.134811,0.778392,0.865189,200
1598.190955,0.227878,0.138626,0.772122,0.861374,200
1608.236181,0.234723,0.142790,0.765277,0.857210,200
1618.281407,0.241084,0.146648,0.758916,0.853352,200
1628.326633,0.249193,0.151513,0.750807,0.848487,200
1638.371859,0.256100,0.155500,0.743900,0.844500,200
1648.417085,0.263742,0.159680,0.736258,0.840320,200
1658.462312,0.271421,0.163684,0.728579,0.836316,200
1668.507538,0.281765,0.169445,0.718235,0.830555,200
1678.552764,0.292294,0.175466,0.707706,0.824534,200
1688.597990,0.306991,0.184208,0.693009,0.815792,200
1698.643216,0.322597,0.193558,0.677403,0.806442,200
1708.688442,0.341208,0.204725,0.658792,0.795275,200
1718.733668,0.362139,0.217283,0.637861,0.782717,200
1728.778894,0.388944,0.233367,0.611056,0.766633,200
1738.824121,0.422583,0.253550,0.577417,0.746450,200
1748.869347,0.461972,0.277183,0.538028,0.722817,200
1758.914573,0.513514,0.308108,0.486486,0.691892,200
1768.959799,0.582500,0.349500,0.417500,0.650500,200
1779.005025,0.668611,0.401167,0.331389,0.598833,200
1789.050251,0.741750,0.445050,0.258250,0.554950,200
1799.095477,0.708125,0.424875,0.291875,0.575125,200
1809.140704,0.619972,0.371983,0.380028,0.628017,200
1819.185930,0.518264,0.310958,0.481736,0.689042,200
1829.231156,0.428542,0.257125,0.571458,0.742875,200
1839.276382,0.357715,0.214616,0.642285,0.785384,200
1849.321608,0.300905,0.180496,0.699095,0.819504,200
1859.366834,0.256860,0.153881,0.743140,0.846119,200
1869.412060,0.221251,0.132200,0.778749,0.867800,200
1879.457286,0.192016,0.114290,0.807984,0.885710,200
1889.502513,0.167598,0.099376,0.832402,0.900624,200
1899.547739,0.147986,0.087239,0.852014,0.912761,200
1909.592965,0.130807,0.076622,0.869193,0.923378,200
1919.638191,0.115567,0.067367,0.884433,0.932633,200
1929.683417,0.102584,0.059228,0.897416,0.940772,200
1939.728643,0.090826,0.051101,0.909174,0.948899,200
1949.773869,0.082827,0.044845,0.917173,0.955155,200
1959.819095,0.073659,0.038394,0.926341,0.961606,200
1969.864322,0.065459,0.033076,0.934541,0.966924,200
1979.909548,0.057979,0.028492,0.942021,0.971508,200
1989.954774,0.049710,0.023953,0.950290,0.976047,200
2000.000000,0.042505,0.020070,0.957495,0.979930,200
