timestamp,case,tier,sample,step,elapsed_sec,status,note
2025-11-11 10:05:48+0800,1,a,1a,bootstrap_141,14.462,ok,
2025-11-11 10:06:03+0800,1,a,1a,bootstrap_142,15.346,ok,
2025-11-11 10:06:18+0800,1,a,1a,bootstrap_143,14.594,ok,
2025-11-11 10:06:33+0800,1,a,1a,bootstrap_144,14.996,ok,
2025-11-11 10:06:47+0800,1,a,1a,bootstrap_145,14.397,ok,
2025-11-11 10:07:01+0800,1,a,1a,bootstrap_146,13.302,ok,
2025-11-11 10:07:15+0800,1,a,1a,bootstrap_147,13.963,ok,
2025-11-11 10:07:28+0800,1,a,1a,bootstrap_148,13.67,ok,
2025-11-11 10:07:43+0800,1,a,1a,bootstrap_149,14.599,ok,
2025-11-11 10:07:58+0800,1,a,1a,bootstrap_150,15.121,ok,
2025-11-11 10:07:58+0800,1,a,1a,progress,NA,ok,bootstrap 150/200
2025-11-11 10:08:13+0800,1,a,1a,bootstrap_151,14.583,ok,
2025-11-11 10:08:28+0800,1,a,1a,bootstrap_152,15.168,ok,
2025-11-11 10:08:43+0800,1,a,1a,bootstrap_153,15.442,ok,
2025-11-11 10:09:00+0800,1,a,1a,bootstrap_154,16.257,ok,
2025-11-11 10:09:16+0800,1,a,1a,bootstrap_155,16.635,ok,
2025-11-11 10:09:34+0800,1,a,1a,bootstrap_156,18.015,ok,
2025-11-11 10:09:50+0800,1,a,1a,bootstrap_157,15.722,ok,
2025-11-11 10:10:04+0800,1,a,1a,bootstrap_158,14.573,ok,
2025-11-11 10:10:18+0800,1,a,1a,bootstrap_159,13.287,ok,
2025-11-11 10:10:31+0800,1,a,1a,bootstrap_160,12.993,ok,
2025-11-11 10:10:31+0800,1,a,1a,progress,NA,ok,bootstrap 160/200
2025-11-11 10:10:44+0800,1,a,1a,bootstrap_161,13.569,ok,
2025-11-11 10:10:58+0800,1,a,1a,bootstrap_162,13.998,ok,
2025-11-11 10:11:13+0800,1,a,1a,bootstrap_163,14.953,ok,
2025-11-11 10:11:29+0800,1,a,1a,bootstrap_164,15.974,ok,
2025-11-11 10:11:44+0800,1,a,1a,bootstrap_165,14.271,ok,
2025-11-11 10:12:00+0800,1,a,1a,bootstrap_166,16.038,ok,
2025-11-11 10:12:15+0800,1,a,1a,bootstrap_167,15.542,ok,
2025-11-11 10:12:31+0800,1,a,1a,bootstrap_168,15.381,ok,
2025-11-11 10:12:49+0800,1,a,1a,bootstrap_169,18.978,ok,
2025-11-11 10:13:10+0800,1,a,1a,bootstrap_170,20.231,ok,
2025-11-11 10:13:10+0800,1,a,1a,progress,NA,ok,bootstrap 170/200
2025-11-11 10:13:30+0800,1,a,1a,bootstrap_171,19.789,ok,
2025-11-11 10:13:49+0800,1,a,1a,bootstrap_172,19.011,ok,
2025-11-11 10:14:06+0800,1,a,1a,bootstrap_173,17.459,ok,
2025-11-11 10:14:26+0800,1,a,1a,bootstrap_174,20.472,ok,
2025-11-11 10:14:47+0800,1,a,1a,bootstrap_175,20.147,ok,
